mu_ess,mu_r_hat,sigma_ess,sigma_r_hat,epsilon,time,sampler,Nd,Nsamples,Nadapt,delta
458.17727500883905,0.9991133211052763,462.1331832028633,0.9999897599194184,0.7831300000000001,0.605447764,CmdStanNUTS,10,2000,1000,0.8
390.2848184467989,1.0063696336698829,390.95561694265814,1.0004998739826463,0.2065020801025774,0.960882099,AHMCNUTS,10,2000,1000,0.8
568.8053388279043,0.9990114858867807,311.44376349959515,0.9992130111659879,,0.05047541,DHMCNUTS,10,2000,1000,0.8
774.9398616337738,0.9996542960164193,475.0136910030948,0.999915555215737,0.7830289999999996,0.593971281,CmdStanNUTS,10,2000,1000,0.8
236.1165217085744,1.0019399059031084,451.05009260753195,1.0060464494629453,0.35117631877329786,0.854207502,AHMCNUTS,10,2000,1000,0.8
459.0369622269555,0.9998122015144539,275.8787476773689,1.0015910592851751,,0.05070543,DHMCNUTS,10,2000,1000,0.8
684.595214122611,0.9991941403401796,517.690587468677,0.9999479833390347,0.7135859999999993,0.665252946,CmdStanNUTS,10,2000,1000,0.8
501.60210627259465,1.0035111666859735,496.75307524774837,1.0008191924106782,0.18520961997257795,0.997879487,AHMCNUTS,10,2000,1000,0.8
804.5863004107126,1.0013795346484644,642.8917276816853,0.9993940474162369,,0.043990507,DHMCNUTS,10,2000,1000,0.8
527.9191859502334,0.999045954524507,613.1155529384573,0.9992199646948815,0.5863979999999999,0.606018595,CmdStanNUTS,10,2000,1000,0.8
325.33500742752454,1.0001389134824934,278.47447244518634,1.0067325458584517,0.34237366290959065,1.078186376,AHMCNUTS,10,2000,1000,0.8
654.7911114855528,1.0011301073053402,316.63169813745975,1.003390225782064,,0.043535152,DHMCNUTS,10,2000,1000,0.8
569.653033648855,0.9990915264831659,506.9777231499974,0.9990132665493484,0.6619659999999998,0.623929811,CmdStanNUTS,10,2000,1000,0.8
430.9484275600766,1.0004814410313736,443.9383338400657,0.9993361006956124,0.163734918918619,1.051370074,AHMCNUTS,10,2000,1000,0.8
452.9986267185173,0.999554308513755,387.5774784749662,0.9997687658071212,,0.05808232,DHMCNUTS,10,2000,1000,0.8
503.95134157291227,1.003489267410208,484.4908378529819,0.9995310358784733,0.7082860000000007,0.650722534,CmdStanNUTS,10,2000,1000,0.8
305.4390220980606,1.0001222779650498,461.3630093501351,1.0021308637712762,0.19473829396212158,0.997204088,AHMCNUTS,10,2000,1000,0.8
381.53268395444474,1.0041437619468077,330.324634927754,1.0027003194928943,,0.066556785,DHMCNUTS,10,2000,1000,0.8
661.8396784947613,0.9992209853124214,455.3248993780011,0.9990852134197583,0.6561850000000008,0.606149301,CmdStanNUTS,10,2000,1000,0.8
510.1772492057963,1.003163666038599,356.43188603920424,0.9993319806821954,0.08785440138336144,1.386123055,AHMCNUTS,10,2000,1000,0.8
513.2884940118621,0.9994636533280352,170.20385634658547,0.9991818402456563,,0.044937674,DHMCNUTS,10,2000,1000,0.8
406.6972627311313,1.0003784666385829,443.80380581684045,1.0016320957091542,0.7849969999999992,0.611658497,CmdStanNUTS,10,2000,1000,0.8
341.67531833409,0.9991303159902298,295.9441643532141,1.0000445778218479,0.4356294311670093,0.804570198,AHMCNUTS,10,2000,1000,0.8
530.4987136025574,0.9990995652945112,414.2831168370382,0.9993853519619396,,0.056254988,DHMCNUTS,10,2000,1000,0.8
597.6892608773235,0.9998184379944849,550.930418234589,0.9991488301492824,0.6575470000000004,0.60855614,CmdStanNUTS,10,2000,1000,0.8
197.71782319798513,0.9995862004902825,425.86480580678136,1.0017224271159044,0.10509595369457457,1.382382372,AHMCNUTS,10,2000,1000,0.8
