mu_ess,mu_r_hat,sigma_ess,sigma_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd
338.20098840100144,1.005187746362809,487.98270017401023,1.0114276620731102,0.2464756245564956,1.842848733,37.2834736,0.125504018,0.06810326629233979,10848941,AHMCNUTS,2000,1000,0.8,10
576.7685696184875,1.0006340120682427,425.93731412972517,1.0046217186234205,0.6571190911674156,0.114265364,5.2616496,0.015949874,0.13958625292612728,1534012,DHMCNUTS,2000,1000,0.8,10
473.3896936787003,0.9993083634424829,434.64728915038495,1.0014499830080874,0.6297909999999981,0.495635028,0.3655472,0.005784037,0.011669952027684371,82741,CmdStanNUTS,2000,1000,0.8,10
332.7283735721634,0.9990764557803762,439.5504118406987,0.9993089555738534,0.42218363524943914,1.700715148,31.2770336,0.318619225,0.18734426242671415,8685085,AHMCNUTS,2000,1000,0.8,10
836.8274020741441,0.9994024964506509,179.91622204594717,1.002438651462738,0.6011941816441323,0.122308256,5.2957792,0.01821073,0.14889207479174588,1545317,DHMCNUTS,2000,1000,0.8,10
498.24355856621736,1.0048160748049966,395.2011099800067,1.0009143306330495,0.7984639999999951,0.532912591,0.3655024,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
446.8344318917783,0.9990605643834058,615.5709713906876,0.9991154560781793,0.22312947079470127,1.783475052,39.614224,0.119706353,0.06711972385919307,11688532,AHMCNUTS,2000,1000,0.8,10
574.5785153930367,1.0021449515908043,402.25979853660135,1.0036354064608637,0.6540751736118507,0.142177816,5.6476304,0.018227829,0.12820445209258244,1645089,DHMCNUTS,2000,1000,0.8,10
768.7077298159587,1.0018568682211981,471.87410807921106,0.9989995013353336,0.847775999999986,0.614607016,0.3655008,0,0,82742,CmdStanNUTS,2000,1000,0.8,10
151.92634693800937,1.0272928257546232,100.36820443269697,1.0002956444804394,0.6266615028779463,1.367013182,30.64916,0.086839927,0.06352530329879438,8458690,AHMCNUTS,2000,1000,0.8,10
728.2584326612101,1.0015021886789062,253.90271510244256,1.003125138424354,0.6733476643573444,0.128843542,5.4303296,0.024335148,0.18887363403902696,1583552,DHMCNUTS,2000,1000,0.8,10
825.4671978110845,0.9990556537790867,461.94728621243405,1.0018365694966604,0.7786599999999826,0.590745917,0.3651888,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
519.4337789329804,0.9991996606237294,556.3053702656658,0.9997737187257162,0.31395233144093493,1.582744654,33.1282304,0.101698804,0.06425471331903168,9352144,AHMCNUTS,2000,1000,0.8,10
577.4651917870666,0.999164901679537,345.6255140828401,0.9990894784795441,0.5523405495186515,0.121031843,5.4541424,0.014017635,0.11581774393041343,1592575,DHMCNUTS,2000,1000,0.8,10
569.9932639615071,1.0022632420633062,289.08623030226886,1.010181682877517,0.9223309999999915,0.601186309,0.3650912,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
373.2531040767064,1.0069149602912466,763.9087300822489,1.0022186716803896,0.27089268171310116,2.242046943,40.554824,0.131510076,0.058656254460056595,12027246,AHMCNUTS,2000,1000,0.8,10
693.2516859093195,0.999767345908069,478.5652608944517,1.0037044532845012,0.7031256439619257,0.131188326,5.177472,0.015781308,0.12029506344947188,1513610,DHMCNUTS,2000,1000,0.8,10
441.41652472051095,1.000901896186726,503.36629233304654,0.9995267853867441,0.5279550000000088,0.582741594,0.3656448,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
460.7374374603325,1.0006051073162472,481.2132275612958,0.9990048488271278,0.27272089766749014,1.861954473,33.7624784,0.107653365,0.057817399169028984,9580624,AHMCNUTS,2000,1000,0.8,10
599.9046065067098,1.000889163031864,327.249828564415,1.013437328208578,0.5953207661363713,0.125691064,5.6909328,0.019816144,0.15765754039603008,1657709,DHMCNUTS,2000,1000,0.8,10
477.48754790150997,0.9990389735976957,499.1660673636639,0.9990025981217937,0.6667540000000018,0.567007176,0.3652896,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
218.536571203084,1.000387667869876,355.6026695655119,1.004775503094578,0.4453656120804641,1.744322899,34.8747264,0.111437803,0.06388599442447611,9980977,AHMCNUTS,2000,1000,0.8,10
598.4143602776628,1.0002096417782487,439.967283109973,1.0004011234186303,0.6221425317865611,0.09892625,5.202472,0.012265571,0.1239870206340582,1521183,DHMCNUTS,2000,1000,0.8,10
675.0790259054994,0.9992659526564741,495.15470134777587,0.999292637591602,0.6518249999999971,0.5792039,0.365472,0.00559948,0.00966754540154167,82741,CmdStanNUTS,2000,1000,0.8,10
288.8990216255408,0.9998608723912725,337.9211663891879,0.9990031713907026,0.08753146400694302,3.185750658,57.9872128,0.198947896,0.06244929919433764,18306184,AHMCNUTS,2000,1000,0.8,10
762.4543311254615,0.999992255196846,375.96899355444185,0.9990707596043746,0.5751840059760503,0.124840123,5.2791328,0.013815768,0.110667689745868,1540488,DHMCNUTS,2000,1000,0.8,10
465.6859941772702,0.9990922617839408,407.00283731017714,1.0007951421812311,0.6795379999999883,0.488470696,0.3654032,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
254.16677666274742,1.0359087170880945,336.8321437238602,1.0036923849802606,0.07820753521075584,3.043163463,61.0857557,0.199767683,0.06564474285685126,19405309,AHMCNUTS,2000,1000,0.8,10
400.35667920833424,1.0023842546313515,352.55765599193757,0.9990414942702459,0.6241960260535202,0.09599068,5.4663008,0.015360983,0.16002577541903026,1595102,DHMCNUTS,2000,1000,0.8,10
694.2832781361076,0.9990000996063194,612.9187368791239,0.9990005380680735,0.8136259999999994,0.439271093,0.3653184,0.004230481,0.009630683801904535,82741,CmdStanNUTS,2000,1000,0.8,10
457.98814171532433,0.9999601409908906,640.3100335831407,0.9991283431386395,0.21262482620005596,1.982180134,40.98852,0.139723521,0.07048982007404177,12183609,AHMCNUTS,2000,1000,0.8,10
877.3138404148231,0.9990640305070565,423.1304599285292,1.0001534732955903,0.6605753274944041,0.112257929,5.2529248,0.016946128,0.15095706958926705,1531416,DHMCNUTS,2000,1000,0.8,10
508.06586924555205,0.9990181386032652,538.6438840991863,0.9996620168147754,0.6449359999999958,0.498549023,0.3654432,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
392.9376674997587,1.0006080548304161,486.4784862895767,0.9990298192338575,0.3817207513832829,1.979004413,34.3073808,0.324825626,0.16413587754844486,9776803,AHMCNUTS,2000,1000,0.8,10
742.8408482638666,0.9990991402054142,582.4518972033703,1.004054373660742,0.7964271546970924,0.112085313,5.0995312,0.014261281,0.12723594749652883,1487182,DHMCNUTS,2000,1000,0.8,10
546.6411537435796,0.999901084690834,553.5318997991437,1.0035252807895714,0.8094009999999872,0.496427304,0.3653136,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
306.4365529808275,1.0011461468115372,450.6701167562558,1.0054770321457076,0.18427997836573504,2.083384836,44.4061024,0.137073001,0.06579341398259078,13414643,AHMCNUTS,2000,1000,0.8,10
557.36200539575,1.000604108569928,350.35135681196016,1.013600146713606,0.7427891196012661,0.111771876,5.3672352,0.012768254,0.11423494403905325,1568584,DHMCNUTS,2000,1000,0.8,10
473.0620299599223,1.004962180658081,441.3801484982434,0.999152401012473,0.7696789999999967,0.548295688,0.3654544,0,0,82741,CmdStanNUTS,2000,1000,0.8,10
398.1435617160133,0.9993514986033883,377.5698949551013,1.0031111624324804,0.16434519003913428,2.060941358,43.9014576,0.138063897,0.06699069649122932,13232879,AHMCNUTS,2000,1000,0.8,10
517.2111908691679,0.9994771620798529,427.69800431847005,0.9991139838453946,0.466585722986466,0.154136897,5.7157968,0.024089185,0.15628435156573833,1669721,DHMCNUTS,2000,1000,0.8,10
673.0369935054018,1.000315009274931,490.84447791501304,0.9992664893739314,0.7767380000000141,0.564341566,0.3654592,0,0,82742,CmdStanNUTS,2000,1000,0.8,10
281.76562525064423,0.9998550918550893,456.91035339137517,1.0007441496234166,0.2863485020638088,1.790723735,37.7113632,0.114811602,0.06411463686775783,11003050,AHMCNUTS,2000,1000,0.8,10
498.1369816432896,0.9998723944518014,525.8082651206893,0.9991990419651159,0.654411115543397,0.114728343,5.556448,0.013984352,0.1218909960200506,1624737,DHMCNUTS,2000,1000,0.8,10
762.1278573406292,0.999886272304997,646.5742137053328,0.9990243007172922,0.7746439999999952,0.591006281,0.366168,0,0,82833,CmdStanNUTS,2000,1000,0.8,100
406.93451284147136,1.0031828912809264,689.540766558728,1.0017957006542295,0.03641038506177744,14.385585818,280.266112,0.85940687,0.059740832307619,107030415,AHMCNUTS,2000,1000,0.8,100
1e3,0.9990187909711842,556.9709289546728,0.9990057162324779,0.6694472796508514,0.209574921,5.1985456,0.017972875,0.08575871060450024,1517544,DHMCNUTS,2000,1000,0.8,100
884.4912893806585,0.999118159297072,809.4196270127704,0.9990177086936987,0.9373620000000059,0.453881829,0.3661584,0,0,82833,CmdStanNUTS,2000,1000,0.8,100
263.9864776933684,0.9991541057843689,326.9609104583859,1.002571038014802,0.14686721239363085,7.429438884,153.2071856,0.454718413,0.06120494698183455,57304207,AHMCNUTS,2000,1000,0.8,100
824.0924506711634,0.9989995056293371,753.9127604987119,0.9991248321438538,0.6815156052200478,0.250384126,6.6800032,0.021096574,0.08425683503593995,1956299,DHMCNUTS,2000,1000,0.8,100
620.4683706741538,0.9990742732038664,753.3961407974606,0.9996779782167742,0.7477519999999932,0.549188543,0.3667808,0,0,82833,CmdStanNUTS,2000,1000,0.8,100
