A_ess,A_r_hat,k_ess,k_r_hat,tau_ess,tau_r_hat,v[1]_ess,v[1]_r_hat,v[2]_ess,v[2]_r_hat,v[3]_ess,v[3]_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd
424.8246915358854,1.000896214962877,167.27542423059504,1.0015353545518255,183.63832961083344,1.001072482020903,504.2486573886932,1.000607189144066,390.5582449014101,0.9993697344543756,413.7109485987958,0.9990129897474828,0.08716696489015524,2.181913927,64.315648,0.143508898,0.06577202529584476,8342469,DHMCNUTS,2000,1000,0.8,10
699.0897385580778,1.0005500773985039,298.8295971387505,0.9995927183948999,296.06260163435064,0.9995411764397824,394.0612886293754,1.0003652904831346,453.5066446969146,1.0047083415633746,486.99980528869395,0.9995011203639312,0.06072429999999994,3.849755504,0.9505533,0,0,214015,CmdStanNUTS,2000,1000,0.8,10
278.1028626789831,0.9994200737144948,179.10809003964994,0.9996750114551824,178.7780913644453,1.0005727437800893,267.1602962900302,1.008657961497055,312.712724624165,0.9990180898180266,284.7559423719671,1.0022774424745622,0.16626135609519094,20.950714119,1195.034648,2.549207644,0.12167640823699409,210318161,AHMCNUTS,2000,1000,0.8,10
341.9597219186995,1.0034763929377248,63.593412190283864,1.0221403927430612,64.97630081090664,1.0110758504683655,203.52397167447853,1.000980864665923,161.1645753251029,1.0079423607483953,180.09121260961777,1.0081784621323517,0.23955512053178682,1.324500934,39.3863776,0.088115236,0.06652712258487543,5126334,DHMCNUTS,2000,1000,0.8,10
821.2517532000966,0.9995249403458868,390.1844256870692,0.9998869471973766,498.2346571820871,0.9997866160204405,281.6128418941097,1.0067247579653948,480.6285201649052,0.9996408897483529,441.6461798562991,0.9995179328484106,0.12184599999999988,2.632796962,0.950287,0.024789688,0.009415723414223538,214015,CmdStanNUTS,2000,1000,0.8,10
455.89834826768396,0.9996934866084874,184.25984203751045,1.0194666964836112,194.18041137423188,1.0199112820008016,429.20895659485166,0.9994280165607469,443.34023232026874,0.9992644412705082,450.1421474600392,0.9990032220988887,0.12851494482657944,21.634950679,1237.7297072,2.776982016,0.12835629057825781,217888801,AHMCNUTS,2000,1000,0.8,10
434.9316643936881,0.9990663811262579,31.778726339419762,1.0846302231734728,26.547620334716825,1.0869396017182564,296.17149064525177,1.0109743472325485,295.9354668070142,1.008961964533784,227.26928783763134,1.001036467864792,0.27363634320250274,1.123418285,33.0356704,0.075783192,0.0674576807337616,4305284,DHMCNUTS,2000,1000,0.8,10
120.60256148444475,1.038702094864783,90.0332152331349,1.0301452393295718,88.09590094122903,1.0293448203165536,103.42421841404916,1.02392535783405,82.66653171811889,1.011257430452851,61.903645943038725,1.0234824163333038,0.0674033,3.907534695,0.9508701,0.026254642,0.0067189786014171275,214015,CmdStanNUTS,2000,1000,0.8,10
329.5912480803832,1.0015855452753373,270.28498657263776,0.9992727903676034,273.98423566871185,1.0012277635106077,447.7689791558865,1.0022987145124143,421.09157410778795,1.0001532755607647,360.05976839760194,1.0000778433894457,0.10650568845715261,22.158884822,1255.1813888,2.831973306,0.12780306088275403,220982968,AHMCNUTS,2000,1000,0.8,10
215.36613749836076,1.0063445551942884,83.50287775088003,1.0030943715446496,78.60584193680897,0.9990511752964046,206.5205544335588,0.9991541182432003,347.30441704571933,1.001727005815051,241.02252766493532,1.0010191616292436,0.19228340766809293,1.378357539,40.5687792,0.100828634,0.07315129140814312,5275802,DHMCNUTS,2000,1000,0.8,10
397.3608020083451,1.001788092611765,275.3020161907627,1.0044545524671928,286.5151522490888,1.002759080913742,226.63841588131993,1.029187351441723,328.4827235000242,1.0031482889720382,276.49448852750845,1.0097322007576908,0.09371279999999993,3.402502216,0.9505116,0.027424907,0.008060217233962854,214015,CmdStanNUTS,2000,1000,0.8,10
296.02868321835876,1.00468657279404,185.5086254663863,1.0060975708164175,249.33912095396943,1.0015235351611917,208.75236201526704,1.0047554479553,197.64519223966138,1.0021849812969958,173.81489295622995,1.011074189894121,0.0280107969919498,43.982562159,2390.5423168,5.15549433,0.11721678039952589,422295457,AHMCNUTS,2000,1000,0.8,10
