B0_ess,B0_ess_ps,B0_hdp_lb,B0_hdp_ub,B0_mean,B0_r_hat,B[1]_ess,B[1]_ess_ps,B[1]_hdp_lb,B[1]_hdp_ub,B[1]_mean,B[1]_r_hat,B[2]_ess,B[2]_ess_ps,B[2]_hdp_lb,B[2]_hdp_ub,B[2]_mean,B[2]_r_hat,sigma_ess,sigma_ess_ps,sigma_hdp_lb,sigma_hdp_ub,sigma_mean,sigma_r_hat,epsilon,tree_depth,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd,Nc,B[3]_ess,B[3]_ess_ps,B[3]_hdp_lb,B[3]_hdp_ub,B[3]_mean,B[3]_r_hat,B0_sampler_rhat,B[1]_sampler_rhat,B[2]_sampler_rhat,sigma_sampler_rhat,B[3]_sampler_rhat
238.25433107914412,136.43143437629132,-5.379085149452233,8.16410485793575,1.3502950073189952,1.0059611036986795,259.71324617419054,148.71944002687363,0.008805707089475187,1.0841410621157554,0.49143167758540307,1.0047266962167059,321.49906867818436,184.09981842401876,0.11080123808410536,0.8305002695206454,0.47379854151779005,1.0026056036357323,199.90767062658247,114.47300925391353,0.8940985868393971,2.886871868811343,1.8334864517538003,1.0027522406194314,0.1366289146700721,3.95,1.746330178,829.326768,0.34335403,0.1966146117873478,13461205,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0202776920679888,1.0289448200603108,1.0009565726356977,1.0018235702855307,
381.8644889178265,652.4892423460508,-5.194409373276702,7.55827281390295,1.54828890228209,1.007768579482671,433.7062017970718,741.0708228285955,-0.004394776918364245,0.9687976692616965,0.4655300972772682,1.0068955254391654,400.64172734831266,684.5737813184493,0.10710221644227486,0.783683366899562,0.4717688120369273,1.0045667090566026,229.7332604863049,392.54365207196236,0.9794749751404881,2.9102043281957894,1.8249442362089834,1.0092313164072213,0.09915284778793443,4.182,0.585242582,455.07336,0.157679866,0.2694265093649662,7977642,DHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0202776920679888,1.0289448200603108,1.0009565726356977,1.0018235702855307,
398.44434879337155,805.4720786959456,-1.63363,2.6637,0.7270853535600014,1.0034623515901173,277.26096586650334,560.4947521380262,0.349157,0.610249,0.47979631699999997,1.0136968994740396,321.4543259446294,649.8334959663306,0.379099,0.697681,0.5438966439999995,1.0081103596155436,243.22251481061255,491.68458577324566,0.439042,1.57385,0.9261355580000012,1.0153457497182325,0.1826110000000009,3.807,0.494671832,8.533312,0,0,194518,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.0086714887357502,1.0303475911516982,1.102788202812407,1.0056941327180806,
354.376425808309,219.56806774992242,-1.1188424854525603,2.5842244265756795,0.7483640150928876,0.9990944005436788,565.8215269477896,350.5773248879691,0.3554332407281414,0.6118813502732574,0.4755248192263158,0.999704245878821,308.40638965954867,191.08549589555972,0.3854699120985488,0.6637638124933759,0.5459345962904618,1.0000796296558685,326.01015970612104,201.99261468999853,0.4456112094842807,1.4714549379898574,0.8723458880367804,0.9994617851299543,0.150532304942014,3.917,1.61397069,748.89216,0.327155966,0.20270254474075985,12181955,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0086714887357502,1.0303475911516982,1.102788202812407,1.0056941327180806,
291.92853882117873,621.3971417439832,-1.062924953995958,2.5811037928855445,0.777040694847737,0.9990557305325909,294.46907997874797,626.80492071678,0.3341160233789223,0.6091361637214852,0.47648010223326936,0.9990378533503078,343.8935225975023,732.009459812549,0.4191042786481692,0.7026983883631561,0.5390023072686024,1.0010792719305996,291.00172626474614,619.4243347144778,0.4320556958420424,1.4855474176561947,0.8940971121644409,1.0001118527690547,0.15554876775520113,3.783,0.469793823,338.351632,0.128932313,0.2744444619911488,5940038,DHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0086714887357502,1.0303475911516982,1.102788202812407,1.0056941327180806,
375.64525344098695,602.6058121736725,-1.47708,1.64237,0.14266330525299994,0.9991239039548115,326.62081944162856,523.9613767763834,0.396903,0.576331,0.48842657799999933,0.9995624461382275,380.00410690728796,609.598234969237,0.464258,0.666247,0.5597175749999996,1.0007743411968342,334.4000598466004,536.4407451149714,0.386125,1.15592,0.6935413349999998,0.9990187583176107,0.19858099999999754,3.533,0.623368122,8.53736,0,0,194518,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.0457328095305427,1.0707084884414755,1.2263045581878171,1.0019801235178742,
302.64031021087027,209.82653776382716,-1.6913209260206152,1.7263860810001537,0.1833580920106557,0.9993619026215724,335.26864424939686,232.44840977927475,0.39809293827090475,0.5740561457755707,0.4878824018305438,1.0003317745570932,296.6184133456849,205.65143706718737,0.4433295383665616,0.6552405787297053,0.5567199736027801,1.0038998188649646,297.04553787048224,205.94757098328662,0.38524999743760374,1.1865543355743675,0.7171387598297754,1.0010685852204997,0.2092475884838551,3.511,1.442335719,627.910432,0.284903478,0.19752923972341838,10258532,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0457328095305427,1.0707084884414755,1.2263045581878171,1.0019801235178742,
321.05023229834296,762.188486154605,-1.1732950865560836,1.8068857954856177,0.21543448667125786,1.0189239317218437,370.1374601649481,878.7238944280567,0.4010985039381795,0.572396007717226,0.48611273489243945,1.0088453637858303,347.10491147103534,824.0435308736642,0.46074631687112566,0.6558829022721618,0.5543633854377751,1.0199152248989503,205.90153289951604,488.8200096729995,0.3406432546429096,1.1021215229911676,0.6797342113907208,0.9991845151055986,0.13869433907565448,3.702,0.421221572,323.412528,0.128278692,0.3045397019694898,5677856,DHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.0457328095305427,1.0707084884414755,1.2263045581878171,1.0019801235178742,
428.2950892180951,625.7884924494774,-0.93558,2.93813,1.1518574228799983,1.00106196062467,274.23460752524,400.68837103407895,0.343667,0.620565,0.4845479559999998,0.9990085621080637,378.8171847247871,553.4955709524025,0.395014,0.564459,0.4801547630000003,0.9991313646918464,294.4606697059561,430.2409792215019,0.554692,1.71631,1.021092664999999,1.0000072409587553,0.18414699999999776,3.575,0.684408701,8.531456,0,0,194518,CmdStanNUTS,2000,1000,0.8,10,2,,,,,,,1.096891295983597,1.163916271123544,0.9996562741579466,1.0005414956268508,
464.71358592262214,313.10997831509786,-0.8137238814575221,3.141761214215163,1.1471455071296965,1.0002843666170358,424.7261883371547,286.1676775730067,0.32260044854407177,0.6149521926625698,0.4847035323621071,1.000792859344745,498.16734646134654,335.65011175243313,0.39082418209190695,0.57495623724499,0.48220454396974816,0.9997084424805507,389.44940917846225,262.3992492506984,0.48610289042277216,1.7149721535170634,1.0458901868715227,0.999184792624693,0.1686434677025837,3.799,1.484186446,641.324672,0.290614424,0.1958072213792471,10471498,AHMCNUTS,2000,1000,0.8,10,2,,,,,,,1.096891295983597,1.163916271123544,0.9996562741579466,1.0005414956268508,
